"id","reel_number","name","uid","tid","epc","axis_surface","status","reserved"
"1467","D1000X132","441000B132",NULL,"E2801170200012DEFADF0B5F","35412204000000441000B132","B",NULL,NULL
"1468","D1000X132","441000B132",NULL,"E28011702000043EFADF0B5F","35412204000000441000B132","B",NULL,NULL
"1469","D1000X133","441000B133",NULL,"E28011702000144EFADF0B5F","35412204000000441000B133","B",NULL,NULL
"1470","D1000X133","441000B133",NULL,"E2801170200012EEFADF0B5F","35412204000000441000B133","B",NULL,NULL
"1471","D1000X134","441000B134",NULL,"E2801170200014BEFADF0B5F","35412204000000441000B134","B",NULL,NULL
"1472","D1000X134","441000B134",NULL,"E28011702000045EFADF0B5F","35412204000000441000B134","B",NULL,NULL
"1473","D1000X135","441000B135",NULL,"E28011702000046EFADF0B5F","35412204000000441000B135","B",NULL,NULL
"1474","D1000X135","441000B135",NULL,"E2801170200004CEFADF0B5F","35412204000000441000B135","B",NULL,NULL
"1475","D1000X136","441000B136",NULL,"E2801170200014DEFADF0B5F","35412204000000441000B136","B",NULL,NULL
"1476","D1000X136","441000B136",NULL,"E2801170200004CDFADF0B5F","35412204000000441000B136","B",NULL,NULL
"1477","D1000X137","441000B137",NULL,"E2801170200014EEFADF0B5F","35412204000000441000B137","B",NULL,NULL
"1478","D1000X137","441000B137",NULL,"E2801170200014BDFADF0B5F","35412204000000441000B137","B",NULL,NULL
"1479","D1000X138","441000B138",NULL,"E28011702000046DFADF0B5F","35412204000000441000B138","B",NULL,NULL
"1480","D1000X138","441000B138",NULL,"E280117020000268FA970B5F","35412204000000441000B138","B",NULL,NULL
"1481","D1000X139","441000B139",NULL,"E28011702000049DFADF0B5F","35412204000000441000B139","B",NULL,NULL
"1482","D1000X139","441000B139",NULL,"E280117020001448FA980B5F","35412204000000441000B139","B",NULL,NULL
"1483","D1000X140","441000B140",NULL,"E28011702000144DFADF0B5F","35412204000000441000B140","B",NULL,NULL
"1484","D1000X140","441000B140",NULL,"E2801170200012DDFADF0B5F","35412204000000441000B140","B",NULL,NULL
"1485","D1000X141","441000B141",NULL,"E2801170200002CDFADF0B5F","35412204000000441000B141","B",NULL,NULL
"1486","D1000X141","441000B141",NULL,"E28011702000142DFADF0B5F","35412204000000441000B141","B",NULL,NULL
"1487","D1000X142","441000B142",NULL,"E2801170200012BDFADF0B5F","35412204000000441000B142","B",NULL,NULL
"1488","D1000X142","441000B142",NULL,"E28011702000025DFADF0B5F","35412204000000441000B142","B",NULL,NULL
"1489","D1000X143","441000B143",NULL,"E28011702000124DFADF0B5F","35412204000000441000B143","B",NULL,NULL
"1490","D1000X143","441000B143",NULL,"E2801170200002ADFADF0B5F","35412204000000441000B143","B",NULL,NULL
"1491","D1000X144","441000B144",NULL,"E28011702000023DFADF0B5F","35412204000000441000B144","B",NULL,NULL
"1492","D1000X144","441000B144",NULL,"E2801170200010CDFADC0B5F","35412204000000441000B144","B",NULL,NULL
"1493","D1000X145","441000B145",NULL,"E28011702000121DFADF0B5F","35412204000000441000B145","B",NULL,NULL
"1494","D1000X145","441000B145",NULL,"E2801170200000BDFADC0B5F","35412204000000441000B145","B",NULL,NULL
"1495","D1000X146","441000B146",NULL,"E28011702000004DFADC0B5F","35412204000000441000B146","B",NULL,NULL
"1496","D1000X146","441000B146",NULL,"E2801170200010ADFADC0B5F","35412204000000441000B146","B",NULL,NULL
"1497","D1000X147","441000B147",NULL,"E28011702000103DFADC0B5F","35412204000000441000B147","B",NULL,NULL
"1498","D1000X147","441000B147",NULL,"E28011702000109DFADC0B5F","35412204000000441000B147","B",NULL,NULL
"1499","D1000X148","441000B148",NULL,"E2801170200014CDFAD70B5F","35412204000000441000B148","B",NULL,NULL
"1500","D1000X148","441000B148",NULL,"E28011702000002DFADC0B5F","35412204000000441000B148","B",NULL,NULL
"1501","D1000X149","441000B149",NULL,"E2801170200004BDFAD70B5F","35412204000000441000B149","B",NULL,NULL
"1502","D1000X149","441000B149",NULL,"E28011702000001DFADC0B5F","35412204000000441000B149","B",NULL,NULL
"1503","D1000X150","441000B150",NULL,"E2801170200014ADFAD70B5F","35412204000000441000B150","B",NULL,NULL
"1504","D1000X150","441000B150",NULL,"E28011702000044DFAD70B5F","35412204000000441000B150","B",NULL,NULL
"1505","D1000X151","441000B151",NULL,"E28011702000143DFAD70B5F","35412204000000441000B151","B",NULL,NULL
"1506","D1000X151","441000B151",NULL,"E28011702000149DFAD70B5F","35412204000000441000B151","B",NULL,NULL
"1507","D1000X152","441000B152",NULL,"E2801170200002CDFAD50B5F","35412204000000441000B152","B",NULL,NULL
"1508","D1000X152","441000B152",NULL,"E28011702000042DFAD70B5F","35412204000000441000B152","B",NULL,NULL
"1509","D1000X153","441000B153",NULL,"E28011702000041DFAD70B5F","35412204000000441000B153","B",NULL,NULL
"1510","D1000X153","441000B153",NULL,"E2801170200012BDFAD50B5F","35412204000000441000B153","B",NULL,NULL
"1511","D1000X154","441000B154",NULL,"E2801170200002ADFAD50B5F","35412204000000441000B154","B",NULL,NULL
"1512","D1000X154","441000B154",NULL,"E28011702000124DFAD50B5F","35412204000000441000B154","B",NULL,NULL
"1513","D1000X155","441000B155",NULL,"E28011702000029DFAD50B5F","35412204000000441000B155","B",NULL,NULL
